model,macro_accuracy,n_samples
llama3.1:8b_zero_shot_rows300,0.19617224880382775,209
llama3.1:8b_few_shot_rows300,0.6698564593301436,209
llama3.1:8b_zero_shot_rag_rows300,0.23444976076555024,209
zephyr:latest_zero_shot_rows300,0.3397129186602871,209
zephyr:latest_few_shot_rows300,0.3588516746411483,209
zephyr:latest_zero_shot_rag_rows300,0.3684210526315789,209
llama3.1:8b_zero_shot_rows600,0.22009569377990432,209
llama3.1:8b_few_shot_rows600,0.6411483253588517,209
llama3.1:8b_zero_shot_rag_rows600,0.22488038277511962,209
zephyr:latest_zero_shot_rows600,0.3349282296650718,209
zephyr:latest_few_shot_rows600,0.36363636363636365,209
zephyr:latest_zero_shot_rag_rows600,0.3588516746411483,209
llama3.1:8b_zero_shot_rows900,0.25120772946859904,207
llama3.1:8b_few_shot_rows900,0.5748792270531401,207
llama3.1:8b_zero_shot_rag_rows900,0.23671497584541062,207
zephyr:latest_zero_shot_rows900,0.3719806763285024,207
zephyr:latest_few_shot_rows900,0.3864734299516908,207
zephyr:latest_zero_shot_rag_rows900,0.36231884057971014,207
